,año,equiponac,jugador,club
0,1994,Bolivia,Carlos Trucco,Bolivar
1,1994,Bolivia,Dario Rojas,Oriente
2,1994,Bolivia,Juan Manuel Peña,Santa Fe
3,1994,Bolivia,Marco Sandy,Bolivar
4,1994,Bolivia,Modesto Soruco,Blooming
5,1994,Bolivia,Gustavo Quinteros,San José
6,1994,Bolivia,Miguel Rimba,Bolivar
7,1994,Bolivia,Luis Cristaldo,Bolivar
8,1994,Bolivia,Carlos Borja,Bolivar
9,1994,Bolivia,Mario Pinedo,Oriente
10,1994,Bolivia,José Melgar,Cobreloa
11,1994,Bolivia,Juan Carlos Chavez,ignorado
12,1994,Bolivia,Vladimir Soria,Bolivar
13,1994,Bolivia,Alvaro Pena,Temuco
14,1994,Bolivia,Ramiro Castillo,The Strongest
15,1994,Bolivia,Mauricio Ramos,Guabira
16,1994,Bolivia,J. C.  Baldivieso,Bolivar
17,1994,Bolivia,Erwin Sanchez,Boavista
18,1994,Bolivia,Marco Etcheverry,Colo Colo
19,1994,Bolivia,Jaime Moreno,Blooming
20,1994,Bolivia,Luis Ramallo,Oriente
21,1995,Bolivia,Carlos Trucco,Bolivar
22,1995,Bolivia,Juan Manuel Peña,Valladolid
23,1995,Bolivia,Marco Sandy,Bolivar
24,1995,Bolivia,Juan Carlos Ruiz,Bolivar
25,1995,Bolivia,Gustavo Quinteros,San Lorenzo
26,1995,Bolivia,Miguel Rimba,Bolivar
27,1995,Bolivia,Luis Cristaldo,Bolivar
28,1995,Bolivia,Carlos Borja,Bolivar
29,1995,Bolivia,José Melgar,Bolivar
30,1995,Bolivia,Demetrio Angola,Wilstermann
31,1995,Bolivia,Mauricio Ramos,ignorado
32,1995,Bolivia,Juan Carlos Sanchez,The Strongest
33,1995,Bolivia,Alvaro Pena,Bolivar
34,1995,Bolivia,J. C.  Baldivieso,Newell's
35,1995,Bolivia,Juan Berthy Suarez,Guabira
36,1995,Bolivia,Miguel Mercado,Bolivar
37,1996,Bolivia,Mauricio Soria,Oriente
38,1996,Bolivia,Marco Barrero,ignorado
39,1996,Bolivia,Carlos Trucco,Cruz Azul
40,1996,Bolivia,Juan Manuel Peña,Valladolid
41,1996,Bolivia,Oscar Sanchez,The Strongest
42,1996,Bolivia,Miguel Angel Paraba,ignorado
43,1996,Bolivia,Marco Sandy,Bolivar
44,1996,Bolivia,Miguel Rimba,Bolivar
45,1996,Bolivia,Ivan Castillo,Bolivar
46,1996,Bolivia,Luis Cristaldo,Bolivar
47,1996,Bolivia,Mauricio Ramos,ignorado
48,1996,Bolivia,Sergio Castillo,Guabira
49,1996,Bolivia,Ruben Tufiño,Oriente
50,1996,Bolivia,José Melgar,RSC
51,1996,Bolivia,Ramiro Castillo,The Strongest
52,1996,Bolivia,Vladimir Soria,Bolivar
53,1996,Bolivia,J. C.  Baldivieso,Bolivar
54,1996,Bolivia,Marco Etcheverry,D.C. United
55,1996,Bolivia,Jaime Moreno,D.C. United
56,1996,Bolivia,Juan Berthy Suarez,D.C. United
57,1996,Bolivia,Roly Paniagua,San José
58,1996,Bolivia,Milton Coimbra,Lanus
59,1997,Bolivia,Carlos Trucco,Cruz Azul
60,1997,Bolivia,Juan Manuel Peña,Valladolid
61,1997,Bolivia,Oscar Sanchez,The Strongest
62,1997,Bolivia,Eduardo Jiguchi,Bolivar
63,1997,Bolivia,Marco Sandy,Bolivar
64,1997,Bolivia,Miguel Rimba,Bolivar
65,1997,Bolivia,Ivan Castillo,Bolivar
66,1997,Bolivia,Luis Cristaldo,Bolivar
67,1997,Bolivia,Ramiro Castillo,Bolivar
68,1997,Bolivia,Demetrio Angola,The Strongest
69,1997,Bolivia,José Melgar,The Strongest
70,1997,Bolivia,Ruben Tufiño,Blooming
71,1997,Bolivia,Vladimir Soria,Bolivar
72,1997,Bolivia,Sergio Castillo,The Strongest
73,1997,Bolivia,Mauro Blanco,The Strongest
74,1997,Bolivia,Fernando Ochaizpur,ignorado
75,1997,Bolivia,Limberg Gutiérrez,Blooming
76,1997,Bolivia,J. C.  Baldivieso,Yokohama FM
77,1997,Bolivia,Erwin Sanchez,Boavista
78,1997,Bolivia,Marco Etcheverry,D.C. United
79,1997,Bolivia,Juan Berthy Suarez,The Strongest
80,1997,Bolivia,Jaime Moreno,D.C. United
81,1997,Bolivia,José Ortiz,ignorado
82,1997,Bolivia,Milton Coimbra,Lanus
83,1999,Bolivia,Gato Fernandez,Blooming
84,1999,Bolivia,Marco Barrero,ignorado
85,1999,Bolivia,Ronald Arana,The Strongest
86,1999,Bolivia,Juan Manuel Peña,Valladolid
87,1999,Bolivia,Oscar Sanchez,Indep.
88,1999,Bolivia,Eduardo Jiguchi,Bolivar
89,1999,Bolivia,Nicolas Suárez,Guabira
90,1999,Bolivia,Reny Ribera,Blooming
91,1999,Bolivia,Wilder Arévalo,Wilstermann
92,1999,Bolivia,Cléver Méndez,Oriente
93,1999,Bolivia,Miguel Rimba,Oriente
94,1999,Bolivia,J. C.  Farah Suárez,Oriente
95,1999,Bolivia,Rolando Rea Molina,The Strongest
96,1999,Bolivia,Marco Sandy,Gim. Jujuy
97,1999,Bolivia,Gustavo Quinteros,Argentinos
98,1999,Bolivia,Percy Gil,Guabira
99,1999,Bolivia,Ivan Castillo,Gim. Jujuy
100,1999,Bolivia,Lorgio Alvarez,Blooming
101,1999,Bolivia,Gonzalo Galindo,Wilstermann
102,1999,Bolivia,Luis Cristaldo,Cerro P
103,1999,Bolivia,Luis Liendo,Bolivar
104,1999,Bolivia,Raul Gutierrez,Blooming
105,1999,Bolivia,Vladimir Soria,Bolivar
106,1999,Bolivia,F. A.  Calustro,Union Central
107,1999,Bolivia,Darwin Peña,Real Potosi
108,1999,Bolivia,Richard Rojas,The Strongest
109,1999,Bolivia,Fernando Ochaizpur,San Luis
110,1999,Bolivia,Mauricio Ramos,Tampa Bay
111,1999,Bolivia,Ruben Tufiño,Blooming
112,1999,Bolivia,Sergio Castillo,Oriente
113,1999,Bolivia,Raul Justiniano,Blooming
114,1999,Bolivia,Richard Uriona,Oriente
115,1999,Bolivia,Joselito Vaca,Oriente
116,1999,Bolivia,Limberg Gutiérrez,Blooming
117,1999,Bolivia,Erwin Sanchez,Boavista
118,1999,Bolivia,Marco Etcheverry,D.C. United
119,1999,Bolivia,Martin Menacho,Blooming
120,1999,Bolivia,Joaquin Botero,Bolivar
121,1999,Bolivia,Roger Suárez,Oriente
122,1999,Bolivia,Jaime Moreno,D.C. United
123,1999,Bolivia,Jefferson Gottardi,Bolivar
124,1999,Bolivia,Victor Antelo,Blooming
125,1999,Bolivia,Lider Paz,Guabira
126,1999,Bolivia,Juan Berthy Suarez,Oriente
127,1999,Bolivia,Carlos Cardenas,Wilstermann
128,1999,Bolivia,Milton Coimbra,Oriente
129,2000,Bolivia,Mauricio Soria,Wilstermann
130,2000,Bolivia,Sergio Galarza,Blooming
131,2000,Bolivia,Gato Fernandez,Blooming
132,2000,Bolivia,Juan Manuel Peña,Valladolid
133,2000,Bolivia,Ronald Arana,Oriente
134,2000,Bolivia,Oscar Sanchez,The Strongest
135,2000,Bolivia,Marco Sandy,Gim. Jujuy
136,2000,Bolivia,Miguel Angel Paraba,ignorado
137,2000,Bolivia,Miguel Rimba,Oriente
138,2000,Bolivia,Marcelo Carballo,Wilstermann
139,2000,Bolivia,Reny Ribera,ignorado
140,2000,Bolivia,Juan Carlos Paz,The Strongest
141,2000,Bolivia,Jose Loayza,Blooming
142,2000,Bolivia,Ivan Castillo,Bolivar
143,2000,Bolivia,Lorgio Alvarez,Blooming
144,2000,Bolivia,Luis Ribeiro,Bolivar
145,2000,Bolivia,Luis Cristaldo,Cerro P
146,2000,Bolivia,Percy Colque,The Strongest
147,2000,Bolivia,Gonzalo Galindo,Wilstermann
148,2000,Bolivia,Luis Marín Camacho,Oriente
149,2000,Bolivia,Ronald García,Bolivar
150,2000,Bolivia,Richard Rojas,The Strongest
151,2000,Bolivia,Raul Justiniano,Blooming
152,2000,Bolivia,F. A.  Calustro,Union Central
153,2000,Bolivia,Sergio Castillo,Guabira
154,2000,Bolivia,Vladimir Soria,Bolivar
155,2000,Bolivia,Mauricio Ramos,New England
156,2000,Bolivia,Raul Gutierrez,Blooming
157,2000,Bolivia,J. C.  Baldivieso,Barcelona G
158,2000,Bolivia,Joselito Vaca,Oriente
159,2000,Bolivia,Limberg Gutiérrez,Blooming
160,2000,Bolivia,Erwin Sanchez,Boavista
161,2000,Bolivia,Marco Etcheverry,D.C. United
162,2000,Bolivia,Martin Menacho,Oriente
163,2000,Bolivia,Jaime Moreno,D.C. United
164,2000,Bolivia,Milton Coimbra,Oriente
165,2000,Bolivia,Lider Paz,Guabira
166,2000,Bolivia,Joaquin Botero,Bolivar
167,2000,Bolivia,Tomas Gutierrez,ignorado
168,2000,Bolivia,Victor Antelo,Blooming
169,2000,Bolivia,Roger Suárez,Oriente
170,2000,Bolivia,Carlos Cardenas,Wilstermann
171,2001,Bolivia,Mauricio Soria,Wilstermann
172,2001,Bolivia,Gato Fernandez,Tapachula
173,2001,Bolivia,Carlos Arias,Blooming
174,2001,Bolivia,Juan Manuel Peña,Valladolid
175,2001,Bolivia,Oscar Sanchez,Bolivar
176,2001,Bolivia,Ronald Raldés,Oriente
177,2001,Bolivia,Juan Doyle Vaca,The Strongest
178,2001,Bolivia,Ronald Arana,Oriente
179,2001,Bolivia,Marco Sandy,Bolivar
180,2001,Bolivia,Marcelo Carballo,Wilstermann
181,2001,Bolivia,Jose Loayza,Wilstermann
182,2001,Bolivia,Luis Reyes,Wilstermann
183,2001,Bolivia,Percy Gil,Blooming
184,2001,Bolivia,Juan Carlos Paz,The Strongest
185,2001,Bolivia,Marcos Francisquine,The Strongest
186,2001,Bolivia,J. C.  Farah Suárez,Union Central
187,2001,Bolivia,Eduardo Jiguchi,Wilstermann
188,2001,Bolivia,Lorgio Alvarez,Blooming
189,2001,Bolivia,Luis Ribeiro,Bolivar
190,2001,Bolivia,Percy Colque,The Strongest
191,2001,Bolivia,Gonzalo Galindo,Bolivar
192,2001,Bolivia,Darwin Peña,Real Potosi
193,2001,Bolivia,Edgar Olivares,Wilstermann
194,2001,Bolivia,Richard Rojas,The Strongest
195,2001,Bolivia,Raul Gutierrez,Blooming
196,2001,Bolivia,Raul Justiniano,Blooming
197,2001,Bolivia,Ronald García,Alverça
198,2001,Bolivia,F. A.  Calustro,Oriente
199,2001,Bolivia,Sergio Castillo,The Strongest
200,2001,Bolivia,Limberg Gutiérrez,Nacional
201,2001,Bolivia,J. C.  Baldivieso,Cobreloa
202,2001,Bolivia,Joselito Vaca,FC Dallas
203,2001,Bolivia,Martin Menacho,Wilstermann
204,2001,Bolivia,Milton Coimbra,Oriente
205,2001,Bolivia,Lider Paz,The Strongest
206,2001,Bolivia,Carlos Cardenas,Wilstermann
207,2001,Bolivia,Joaquin Botero,Bolivar
208,2001,Bolivia,José Castillo,Oriente
209,2001,Bolivia,Augusto Andaveris,Bolivar
210,2001,Bolivia,Roger Suárez,Oriente
211,2002,Bolivia,Mauricio Soria,Wilstermann
212,2002,Bolivia,Gato Fernandez,Bolivar
213,2002,Bolivia,Carlos Arias,Blooming
214,2002,Bolivia,Oscar Sanchez,Bolivar
215,2002,Bolivia,Wilson Escalante,Oriente
216,2002,Bolivia,Eduardo Jiguchi,Wilstermann
217,2002,Bolivia,Percy Gil,Blooming
218,2002,Bolivia,Marco Sandy,Bolivar
219,2002,Bolivia,Neil Rivero,Guabira
220,2002,Bolivia,Jose Luis Algaranaz,Bolivar
221,2002,Bolivia,Johnny Nay,Wilstermann
222,2002,Bolivia,Miguel Hoyos,Oriente
223,2002,Bolivia,Luis Ribeiro,Bolivar
224,2002,Bolivia,Gonzalo Galindo,Bolivar
225,2002,Bolivia,Percy Colque,Bolivar
226,2002,Bolivia,Darwin Peña,Real Potosi
227,2002,Bolivia,Adrian Cuellar,Guabira
228,2002,Bolivia,Edgar Olivares,Bolivar
229,2002,Bolivia,Raul Gutierrez,Blooming
230,2002,Bolivia,Ruben Tufiño,Bolivar
231,2002,Bolivia,Raul Justiniano,Blooming
232,2002,Bolivia,Juan Carlos Melgar,Bolivar
233,2002,Bolivia,Armando Ibanez,Oriente
234,2002,Bolivia,Richard Rojas,The Strongest
235,2002,Bolivia,Luis Marín Camacho,Blooming
236,2002,Bolivia,F. A.  Calustro,Union Central
237,2002,Bolivia,Javier Guzman,Wilstermann
238,2002,Bolivia,Diego Bengolea,Wilstermann
239,2002,Bolivia,Limberg Gutiérrez,Nacional
240,2002,Bolivia,Joselito Vaca,FC Dallas
241,2002,Bolivia,Marco Etcheverry,D.C. United
242,2002,Bolivia,Augusto Andaveris,Wilstermann
243,2002,Bolivia,Miguel Mercado,Bolivar
244,2002,Bolivia,Diego Cabrera,Blooming
245,2002,Bolivia,José Castillo,Oriente
246,2002,Bolivia,Roberto Torrez,Oriente
247,2002,Bolivia,Joaquin Botero,Bolivar
248,2002,Bolivia,Lider Paz,Oriente
249,2002,Bolivia,Carlos Suárez,Blooming
250,2002,Bolivia,Roger Suárez,Oriente
251,2003,Bolivia,Leonardo Fernandez,Oriente
252,2003,Bolivia,Gato Fernandez,Bolivar
253,2003,Bolivia,Hugo Suarez,RSC
254,2003,Bolivia,Juan Manuel Peña,Valladolid
255,2003,Bolivia,Ronald Raldés,Oriente
256,2003,Bolivia,Oscar Sanchez,Bolivar
257,2003,Bolivia,Ronald Arana,Oriente
258,2003,Bolivia,Wilson Escalante,Oriente
259,2003,Bolivia,Alvaro Ricaldi,Wilstermann
260,2003,Bolivia,Limberg Morejon,The Strongest
261,2003,Bolivia,Juan Carlos Paz,The Strongest
262,2003,Bolivia,Johnny Nay,Wilstermann
263,2003,Bolivia,Jose Loayza,Blooming
264,2003,Bolivia,Juan Garcia,ignorado
265,2003,Bolivia,Marco Sandy,Bolivar
266,2003,Bolivia,Luis Ribeiro,Bolivar
267,2003,Bolivia,Miguel Hoyos,Oriente
268,2003,Bolivia,Lorgio Alvarez,Oriente
269,2003,Bolivia,Luis Cristaldo,The Strongest
270,2003,Bolivia,Gualberto Mojica,Wilstermann
271,2003,Bolivia,Leonel Reyes,Univ. Iberoam.
272,2003,Bolivia,Raul Gutierrez,Blooming
273,2003,Bolivia,Raul Justiniano,Oriente
274,2003,Bolivia,F. A.  Calustro,Wilstermann
275,2003,Bolivia,Ronald García,Alverça
276,2003,Bolivia,Richard Rojas,San José
277,2003,Bolivia,Darwin Peña,Real Potosi
278,2003,Bolivia,Darwin Cuellar,Univ. Iberoam.
279,2003,Bolivia,Diego Bengolea,San José
280,2003,Bolivia,J. C.  Baldivieso,Al Wakrah
281,2003,Bolivia,Joselito Vaca,FC Dallas
282,2003,Bolivia,Limberg Gutiérrez,Bolivar
283,2003,Bolivia,Marco Etcheverry,D.C. United
284,2003,Bolivia,Miguel Mercado,Bolivar
285,2003,Bolivia,Carlos Suárez,Blooming
286,2003,Bolivia,Augusto Andaveris,San José
287,2003,Bolivia,Joaquin Botero,UNAM
288,2003,Bolivia,Limberg Mendez,The Strongest
289,2003,Bolivia,Roger Suárez,Oriente
290,2003,Bolivia,José Castillo,Estudiantes
291,2004,Bolivia,Leonardo Fernandez,Chacarita
292,2004,Bolivia,Gato Fernandez,Bolivar
293,2004,Bolivia,Juan Manuel Peña,Valladolid
294,2004,Bolivia,Ronald Raldés,Rosario
295,2004,Bolivia,Oscar Sanchez,Bolivar
296,2004,Bolivia,Ronald Arana,Oriente
297,2004,Bolivia,Sergio Jauregui,Blooming
298,2004,Bolivia,Marcelo Carballo,The Strongest
299,2004,Bolivia,Lorgio Alvarez,Oriente
300,2004,Bolivia,Luis Ribeiro,Bolivar
301,2004,Bolivia,Percy Colque,Bolivar
302,2004,Bolivia,Gonzalo Galindo,Bolivar
303,2004,Bolivia,Luis Cristaldo,The Strongest
304,2004,Bolivia,Herman Soliz,The Strongest
305,2004,Bolivia,Leonel Reyes,Bolivar
306,2004,Bolivia,Alex Da Rosa,The Strongest
307,2004,Bolivia,Ronald García,Bolivar
308,2004,Bolivia,Limbert Pizarro,Bolivar
309,2004,Bolivia,Richard Rojas,The Strongest
310,2004,Bolivia,Carmelo Angulo,Aurora
311,2004,Bolivia,Getulio Vaca,Blooming
312,2004,Bolivia,Ruben Tufiño,Bolivar
313,2004,Bolivia,Walter Flores,San José
314,2004,Bolivia,Joselito Vaca,Red Bulls
315,2004,Bolivia,J. C.  Baldivieso,Caracas
316,2004,Bolivia,Limberg Gutiérrez,Bolivar
317,2004,Bolivia,Juan Carlos Arce,Oriente
318,2004,Bolivia,Danner Pachi,Bolivar
319,2004,Bolivia,Erwin Sanchez,Oriente
320,2004,Bolivia,Diego Cabrera,Cerro P
321,2004,Bolivia,Limberg Mendez,The Strongest
322,2004,Bolivia,José Castillo,Bolivar
323,2004,Bolivia,Miguel Mercado,Bolivar
324,2004,Bolivia,Joaquin Botero,UNAM
325,2004,Bolivia,Roger Suárez,Bolivar
326,2004,Bolivia,Milton Coimbra,Oriente
327,2005,Bolivia,Carlos Arias,The Strongest
328,2005,Bolivia,Leonardo Fernandez,Chacarita
329,2005,Bolivia,Sergio Galarza,Wilstermann
330,2005,Bolivia,Ronald Raldés,Rosario
331,2005,Bolivia,Oscar Sanchez,Bolivar
332,2005,Bolivia,Edward Zenteno,Wilstermann
333,2005,Bolivia,Sergio Jauregui,Blooming
334,2005,Bolivia,Juan Doyle Vaca,The Strongest
335,2005,Bolivia,Ronald Arana,Oriente
336,2005,Bolivia,Enrique Parada,San José
337,2005,Bolivia,Lorgio Alvarez,Cerro P
338,2005,Bolivia,Miguel Hoyos,Oriente
339,2005,Bolivia,Gonzalo Galindo,Bolivar
340,2005,Bolivia,Luis Cristaldo,The Strongest
341,2005,Bolivia,Percy Colque,Bolivar
342,2005,Bolivia,Gualberto Mojica,Blooming
343,2005,Bolivia,Walter Flores,San José
344,2005,Bolivia,Ronald García,Oriente
345,2005,Bolivia,Raul Justiniano,Wilstermann
346,2005,Bolivia,Limbert Pizarro,Bolivar
347,2005,Bolivia,Carmelo Angulo,Bolivar
348,2005,Bolivia,Jesus Gomez,Wilstermann
349,2005,Bolivia,J. C.  Baldivieso,Caracas
350,2005,Bolivia,Joselito Vaca,Blooming
351,2005,Bolivia,Limberg Gutiérrez,Bolivar
352,2005,Bolivia,Juan Carlos Arce,Oriente
353,2005,Bolivia,Danner Pachi,Bolivar
354,2005,Bolivia,Erwin Sanchez,Oriente
355,2005,Bolivia,Milton Coimbra,Ionikos
356,2005,Bolivia,José Castillo,Estudiantes
357,2005,Bolivia,Diego Cabrera,Bolivar
358,2005,Bolivia,Joaquin Botero,UNAM
359,2005,Bolivia,Limberg Mendez,Aurora
360,2005,Bolivia,Lider Paz,The Strongest
361,2006,Bolivia,Hugo Suarez,Wilstermann
362,2006,Bolivia,Sergio Galarza,Oriente
363,2006,Bolivia,Oscar Sanchez,Bolivar
364,2006,Bolivia,Luis Méndez,Oriente
365,2006,Bolivia,Nicolas Suárez,Real Potosi
366,2006,Bolivia,Pedro Zabala,Universitario
367,2006,Bolivia,Gonzalo Galindo,Alianza Lima
368,2006,Bolivia,Leonel Reyes,Bolivar
369,2006,Bolivia,Sacha Lima,Wilstermann
370,2006,Bolivia,Darwin Peña,Real Potosi
371,2006,Bolivia,Carmelo Angulo,Bolivar
372,2006,Bolivia,Walter Flores,Real Potosi
373,2006,Bolivia,Joselito Vaca,Blooming
374,2006,Bolivia,Juan Carlos Arce,Oriente
375,2006,Bolivia,Danner Pachi,Bolivar
376,2006,Bolivia,Pablo Salinas,Wilstermann
377,2006,Bolivia,Nelson Sossa,Wilstermann
378,2007,Bolivia,Sergio Galarza,Oriente
379,2007,Bolivia,Hugo Suarez,Wilstermann
380,2007,Bolivia,Carlos Arias,Blooming
381,2007,Bolivia,Juan Manuel Peña,Villarreal
382,2007,Bolivia,Santos Amador,Real Potosi
383,2007,Bolivia,Limbert Mendez,Blooming
384,2007,Bolivia,Ronald Raldés,Rosario
385,2007,Bolivia,Ronald Arana,Oriente
386,2007,Bolivia,Edhemir Rodriguez,Real Potosi
387,2007,Bolivia,Enrique Parada,San José
388,2007,Bolivia,Nicolas Suárez,Real Potosi
389,2007,Bolivia,Luis Ribeiro,Real Potosi
390,2007,Bolivia,Miguel Hoyos,The Strongest
391,2007,Bolivia,Lorgio Alvarez,Cerro P
392,2007,Bolivia,Ricardo Verdúguez,Blooming
393,2007,Bolivia,L. A.  Gutiérrez,Juventud
394,2007,Bolivia,Pedro Zabala,Universitario
395,2007,Bolivia,Gonzalo Galindo,The Strongest
396,2007,Bolivia,Herman Soliz,The Strongest
397,2007,Bolivia,Gualberto Mojica,Cluj
398,2007,Bolivia,Leonel Reyes,Bolivar
399,2007,Bolivia,Jaime Cardozo,The Strongest
400,2007,Bolivia,Ronald García,Aris
401,2007,Bolivia,Darwin Peña,Real Potosi
402,2007,Bolivia,Sacha Lima,Wilstermann
403,2007,Bolivia,Ronald Gutierrez,La Paz FC
404,2007,Bolivia,Jhasmani Campos,Oriente
405,2007,Bolivia,Jesus Gomez,San José
406,2007,Bolivia,Gustavo Pinedo,Cádiz
407,2007,Bolivia,Limberg Gutiérrez,Bolivar
408,2007,Bolivia,Joselito Vaca,Blooming
409,2007,Bolivia,Juan Carlos Arce,Corinthians
410,2007,Bolivia,José Luis Ortiz,Nafta Lendava
411,2007,Bolivia,Marcelo Moreno,Cruzeiro
412,2007,Bolivia,Carlos Saucedo,Bolivar
413,2007,Bolivia,Diego Cabrera,Aurora
414,2007,Bolivia,Pablo Salinas,The Strongest
415,2007,Bolivia,Nelson Sossa,Wilstermann
416,2007,Bolivia,Jaime Moreno,D.C. United
417,2007,Bolivia,Augusto Andaveris,La Paz FC
418,2008,Bolivia,Hugo Suarez,Real Potosi
419,2008,Bolivia,Gato Fernandez,José Galvez
420,2008,Bolivia,Carlos Arias,Bolivar
421,2008,Bolivia,Sergio Galarza,Oriente
422,2008,Bolivia,Limbert Mendez,Wilstermann
423,2008,Bolivia,Ronald Raldés,Rosario
424,2008,Bolivia,Ronald Rivero,Universitario
425,2008,Bolivia,Ignacio Garcia,Bolivar
426,2008,Bolivia,Enrique Parada,San José
427,2008,Bolivia,Miguel Hoyos,Oriente
428,2008,Bolivia,Luis Ribeiro,Real Potosi
429,2008,Bolivia,Lorgio Alvarez,Cerro P
430,2008,Bolivia,Christian Vargas,The Strongest
431,2008,Bolivia,L. A.  Gutiérrez,Oriente
432,2008,Bolivia,Didi Torrico,La Paz FC
433,2008,Bolivia,Jaime Robles,Universitario
434,2008,Bolivia,Rolando Ribera,San José
435,2008,Bolivia,Leonel Reyes,Bolivar
436,2008,Bolivia,Gualberto Mojica,Blooming
437,2008,Bolivia,Abdon Reyes,Bolivar
438,2008,Bolivia,Jhasmani Campos,Oriente
439,2008,Bolivia,Edgar Olivares,La Paz FC
440,2008,Bolivia,Jesus Gomez,Blooming
441,2008,Bolivia,José Chavez,Universitario
442,2008,Bolivia,Darwin Peña,San José
443,2008,Bolivia,Jaime Cardozo,The Strongest
444,2008,Bolivia,Ronald García,Aris
445,2008,Bolivia,Walter Flores,The Strongest
446,2008,Bolivia,Ronald Gutierrez,Bursaspor
447,2008,Bolivia,Sacha Lima,The Strongest
448,2008,Bolivia,Limberg Gutiérrez,Oriente
449,2008,Bolivia,Mauricio Saucedo,San José
450,2008,Bolivia,Joselito Vaca,Blooming
451,2008,Bolivia,Juan Carlos Arce,Al Arabi
452,2008,Bolivia,Danner Pachi,Bolivar
453,2008,Bolivia,Pablo Escobar,Ipatinga
454,2008,Bolivia,Marcelo Moreno,Shakhtar
455,2008,Bolivia,Ricardo Pedriel,Wilstermann
456,2008,Bolivia,Pablo Salinas,Bolivar
457,2008,Bolivia,Nelson Sossa,Wilstermann
458,2008,Bolivia,Joaquin Botero,Bolivar
459,2008,Bolivia,Diego Cabrera,Cucuta
460,2008,Bolivia,Jaime Moreno,D.C. United
461,2009,Bolivia,Carlos Arias,Bolivar
462,2009,Bolivia,Hugo Suarez,Wilstermann
463,2009,Bolivia,Juan Manuel Peña,Celta
464,2009,Bolivia,Ronald Rivero,Universitario
465,2009,Bolivia,Santos Amador,Wilstermann
466,2009,Bolivia,Ronald Raldés,Cruz Azul
467,2009,Bolivia,Edhemir Rodriguez,Real Potosi
468,2009,Bolivia,Ignacio Garcia,Bolivar
469,2009,Bolivia,Luis Palacios,San José
470,2009,Bolivia,Julio Hurtado,Aurora
471,2009,Bolivia,Enrique Parada,San José
472,2009,Bolivia,Rosauro Rivero,The Strongest
473,2009,Bolivia,Lorgio Alvarez,Libertad
474,2009,Bolivia,Miguel Hoyos,Bolivar
475,2009,Bolivia,Gerardo Yecerotte,Real Potosi
476,2009,Bolivia,Luis Ribeiro,Real Potosi
477,2009,Bolivia,Christian Vargas,Blooming
478,2009,Bolivia,Wilder Zabala,Oriente
479,2009,Bolivia,L. A.  Gutiérrez,Kiryat Shmona
480,2009,Bolivia,Marvin Bejarano,Universitario
481,2009,Bolivia,Didi Torrico,Wilstermann
482,2009,Bolivia,Jaime Robles,Blooming
483,2009,Bolivia,Helmut Gutiérrez,La Paz FC
484,2009,Bolivia,Leonel Reyes,Bolivar
485,2009,Bolivia,Abdon Reyes,Bolivar
486,2009,Bolivia,Ronald García,Aris
487,2009,Bolivia,Walter Flores,Bolivar
488,2009,Bolivia,Edgar Olivares,Wilstermann
489,2009,Bolivia,Alex Da Rosa,San José
490,2009,Bolivia,Jesus Gomez,Blooming
491,2009,Bolivia,José Chavez,Blooming
492,2009,Bolivia,Mauricio Saucedo,Universitario
493,2009,Bolivia,Limberg Gutiérrez,The Strongest
494,2009,Bolivia,Joselito Vaca,Oriente
495,2009,Bolivia,Juan Carlos Arce,Recife
496,2009,Bolivia,Pablo Escobar,Santo André
497,2009,Bolivia,Danner Pachi,Portoviejo
498,2009,Bolivia,Gilbert Alvarez,Callejas
499,2009,Bolivia,Ricardo Pedriel,Giresunspor
500,2009,Bolivia,Marcelo Moreno,Shakhtar
501,2009,Bolivia,José Castillo,Oriente
502,2009,Bolivia,Joaquin Botero,Correcaminos
503,2009,Bolivia,Diego Cabrera,Independiente
504,2010,Bolivia,Carlos Lampe,Universitario
505,2010,Bolivia,Daniel Vaca,San José
506,2010,Bolivia,Ronald Raldés,Colon
507,2010,Bolivia,Santos Amador,The Strongest
508,2010,Bolivia,Ronald Eguino,Real Potosi
509,2010,Bolivia,Edhemir Rodriguez,Real Potosi
510,2010,Bolivia,Ignacio Garcia,Aurora
511,2010,Bolivia,Nicolas Suárez,Oriente
512,2010,Bolivia,Jair Torrico,Wilstermann
513,2010,Bolivia,Miguel Hoyos,Oriente
514,2010,Bolivia,Marvin Bejarano,Universitario
515,2010,Bolivia,L. A.  Gutiérrez,Oriente
516,2010,Bolivia,Jaime Robles,Aurora
517,2010,Bolivia,Rolando Ribera,San José
518,2010,Bolivia,Helmut Gutiérrez,Real Potosi
519,2010,Bolivia,Abdon Reyes,Bolivar
520,2010,Bolivia,Jhasmani Campos,Oriente
521,2010,Bolivia,Sacha Lima,Universitario
522,2010,Bolivia,Walter Veizaga,Wilstermann
523,2010,Bolivia,José Chavez,Blooming
524,2010,Bolivia,Amílcar Sánchez,Wilstermann
525,2010,Bolivia,Alex Da Rosa,Bolivar
526,2010,Bolivia,Edgar Olivares,Wilstermann
527,2010,Bolivia,Walter Flores,Bolivar
528,2010,Bolivia,Ronald García,Anorthosis
529,2010,Bolivia,Alcides Peña,Oriente
530,2010,Bolivia,Mauricio Saucedo,Oriente
531,2010,Bolivia,Rudy Cardozo,Bolivar
532,2010,Bolivia,Joselito Vaca,Oriente
533,2010,Bolivia,Gilbert Alvarez,Callejas
534,2010,Bolivia,Marcelo Moreno,Shakhtar
